"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 17:43:51 ART 2023","Tue Dec 12 17:43:56 ART 2023","5661","chromium","regressionHome.test.spec.ts","","","","Verificacion pestaña club",""
"passed","Tue Dec 12 18:03:55 ART 2023","Tue Dec 12 18:04:01 ART 2023","5747","chromium","globalCardEvent.spec.ts","","","","Testing Card Event",""
"passed","Tue Dec 12 18:05:15 ART 2023","Tue Dec 12 18:05:19 ART 2023","4151","webkit","globalHome.spec.ts","","","","Testing Footer",""
"passed","Tue Dec 12 17:45:41 ART 2023","Tue Dec 12 17:45:57 ART 2023","16585","webkit","verifyingReports.spec.ts","","","","Verificando funcionalidad de reportes - Rol Admin",""
"passed","Tue Dec 12 18:04:50 ART 2023","Tue Dec 12 18:04:59 ART 2023","9565","webkit","globalCardClub.spec.ts","","","","Testing Pestaña Club",""
"passed","Tue Dec 12 17:44:10 ART 2023","Tue Dec 12 17:44:29 ART 2023","19407","firefox","fieldsVerifyLogin.spec.ts","","","","Verificacion de campos y logica de forgot-reset password",""
"passed","Tue Dec 12 18:03:45 ART 2023","Tue Dec 12 18:03:55 ART 2023","9716","chromium","globalCardClub.spec.ts","","","","Testing Pestaña Club",""
"passed","Tue Dec 12 18:05:05 ART 2023","Tue Dec 12 18:05:15 ART 2023","9426","webkit","globalCardEvent.spec.ts","","","","Testing VerMas Inside",""
"passed","Tue Dec 12 18:05:00 ART 2023","Tue Dec 12 18:05:05 ART 2023","5825","webkit","globalCardEvent.spec.ts","","","","Testing Card Event",""
"passed","Tue Dec 12 18:04:39 ART 2023","Tue Dec 12 18:04:45 ART 2023","5873","firefox","globalHome.spec.ts","","","","Testing Footer",""
"passed","Tue Dec 12 17:37:54 ART 2023","Tue Dec 12 17:38:08 ART 2023","14404","chromium","regressionCreateEvent.spec.ts","","","","Desde club - crear un evento con usuario no logueado",""
"passed","Tue Dec 12 17:37:40 ART 2023","Tue Dec 12 17:37:48 ART 2023","7952","chromium","login.spec.ts","","","","Login exitoso de usuario registrado con rol ADMIN",""
"passed","Tue Dec 12 17:37:40 ART 2023","Tue Dec 12 17:37:49 ART 2023","9163","chromium","register.spec.ts","","","","Registro exitoso de nuevo usuario",""
"passed","Tue Dec 12 18:05:13 ART 2023","Tue Dec 12 18:05:18 ART 2023","5259","webkit","globalHome.spec.ts","","","","Testing Body",""
"passed","Tue Dec 12 17:44:31 ART 2023","Tue Dec 12 17:44:43 ART 2023","11365","firefox","regressionHome.test.spec.ts","","","","Testing Labels",""
"passed","Tue Dec 12 17:43:31 ART 2023","Tue Dec 12 17:43:41 ART 2023","10028","chromium","fieldsVerifyLogin.spec.ts","","","","Verificacion de campos y logica de forgot-reset password",""
"passed","Tue Dec 12 18:04:26 ART 2023","Tue Dec 12 18:04:33 ART 2023","7437","firefox","globalCardEvent.spec.ts","","","","Testing Card Event",""
"passed","Tue Dec 12 17:43:31 ART 2023","Tue Dec 12 17:43:37 ART 2023","5878","chromium","fieldsVerifyLogin.spec.ts","","","","Verificacion de campos en login",""
"passed","Tue Dec 12 17:43:41 ART 2023","Tue Dec 12 17:43:45 ART 2023","3846","chromium","fieldsVerifyRegister.spec.ts","","","","Verificacion de campos en el register",""
"passed","Tue Dec 12 18:03:45 ART 2023","Tue Dec 12 18:03:59 ART 2023","14197","chromium","globalCardClub.spec.ts","","","","Testing Club Inside",""
"failed","Tue Dec 12 17:38:32 ART 2023","Tue Dec 12 17:38:45 ART 2023","13054","chromium","regressionFieldsVerifyMyProfileUser.spec.ts","","","","Consistencia de datos en MiPerfil",""
"passed","Tue Dec 12 18:04:08 ART 2023","Tue Dec 12 18:04:11 ART 2023","2772","chromium","globalHome.spec.ts","","","","Testing Footer",""
"passed","Tue Dec 12 17:44:15 ART 2023","Tue Dec 12 17:44:31 ART 2023","15919","firefox","fieldsVerifyLogin.spec.ts","","","","Verificacion logica de change password desde MiPerfil",""
"passed","Tue Dec 12 17:37:48 ART 2023","Tue Dec 12 17:37:54 ART 2023","5935","chromium","register.spec.ts","","","","Registro no exitoso de un usuario ya registrado",""
"passed","Tue Dec 12 17:38:47 ART 2023","Tue Dec 12 17:39:07 ART 2023","20393","chromium","regressionJoinEvent.spec.ts","","","","Sumarse evento con usuario logueado",""
"passed","Tue Dec 12 17:37:26 ART 2023","Tue Dec 12 17:37:40 ART 2023","13971","chromium","login.spec.ts","","","","Login exitoso de usuario registrado con rol CLUB",""
"passed","Tue Dec 12 18:03:59 ART 2023","Tue Dec 12 18:04:08 ART 2023","8262","chromium","globalCardEvent.spec.ts","","","","Testing VerMas Inside",""
"passed","Tue Dec 12 17:44:38 ART 2023","Tue Dec 12 17:44:48 ART 2023","10832","firefox","regressionHome.test.spec.ts","","","","Verificacion pestaña club",""
"passed","Tue Dec 12 17:44:59 ART 2023","Tue Dec 12 17:45:07 ART 2023","8873","webkit","fieldsVerifyLogin.spec.ts","","","","Verificacion de campos en login",""
